"row_num","treat","rep","inv_sp","res_sp","res_div","inv_t0","res_t0","inv_count","res_count","inv_m","res_m","rel_fit","res_sp2"
145,"25","a","o","ps",2,26666.66667,2666666.667,22666666.6666667,542666666.666667,6.74523634935936,5.31566600475765,1.26893532124144,"Pc Sr"
146,"25","b","o","ps",2,26666.66667,2666666.667,2e+07,526666666.666667,6.62007320640536,5.28573858421618,1.25244052480644,"Pc Sr"
147,"25","c","o","ps",2,26666.66667,2666666.667,50666666.6666667,478666666.666667,7.54960916502953,5.19017520780333,1.45459620586196,"Pc Sr"
148,"25","d","o","ps",2,26666.66667,2666666.667,4.8e+07,502666666.666667,7.49554194375926,5.23909800676307,1.43069320980126,"Pc Sr"
149,"25","e","o","ps",2,26666.66667,2666666.667,2.8e+07,441333333.333333,6.95654544302657,5.10897119469212,1.36163332654018,"Pc Sr"
150,"25","f","o","ps",2,26666.66667,2666666.667,50666666.6666667,578666666.666667,7.54960916502953,5.37989735341546,1.40329985296776,"Pc Sr"
151,"26","a","o","vs",2,26666.66667,2666666.667,8.8e+07,230666666.666667,8.10167774732957,4.46014441381283,1.81646085768862,"Vg Sr"
152,"26","b","o","vs",2,26666.66667,2666666.667,90666666.6666667,246666666.666667,8.13153071047925,4.52720864439338,1.7961466654623,"Vg Sr"
153,"26","c","o","vs",2,26666.66667,2666666.667,110666666.666667,353333333.333333,8.33086361309974,4.88658264530128,1.704844513601,"Vg Sr"
154,"26","d","o","vs",2,26666.66667,2666666.667,166666666.666667,2.24e+08,8.74033674260545,4.43081679871831,1.972624267637,"Vg Sr"
155,"26","e","o","vs",2,26666.66667,2666666.667,130666666.666667,257333333.333333,8.49699048397372,4.56954300821994,1.85948364391994,"Vg Sr"
156,"26","f","o","vs",2,26666.66667,2666666.667,1.52e+08,2.52e+08,8.64822145369764,4.5485998343747,1.90129309427074,"Vg Sr"
157,"27","a","a","pv",2,26666.66667,2666666.667,2666666.66666667,1.48e+08,4.60517018586309,4.01638302062739,1.14659636847676,"Pc Vg"
158,"27","b","a","pv",2,26666.66667,2666666.667,4e+06,1.08e+08,5.01063529397126,3.70130197398749,1.35374939121036,"Pc Vg"
159,"27","c","a","pv",2,26666.66667,2666666.667,1e+07,122666666.666667,5.92692602584541,3.8286413963641,1.54804940245226,"Pc Vg"
160,"27","d","a","pv",2,26666.66667,2666666.667,8e+06,1.58e+08,5.7037824745312,4.08176577989024,1.39738112917507,"Pc Vg"
161,"27","e","a","pv",2,26666.66667,2666666.667,15333333.3333333,157333333.333333,6.35437004067235,4.07753744378072,1.55838422780504,"Pc Vg"
162,"27","f","a","pv",2,26666.66667,2666666.667,7333333.33333333,131333333.333333,5.61677109754157,3.8969093674931,1.44133993579503,"Pc Vg"
163,"28","a","a","ps",2,26666.66667,2666666.667,34666666.6666667,517333333.333333,7.17011954332463,5.26785815893833,1.36110717619809,"Pc Sr"
164,"28","b","a","ps",2,26666.66667,2666666.667,25333333.3333333,493333333.333333,6.85646198446959,5.22035582495332,1.3134089350185,"Pc Sr"
165,"28","c","a","ps",2,26666.66667,2666666.667,4e+07,5.08e+08,7.3132203869653,5.24965219444176,1.3930866495705,"Pc Sr"
166,"28","d","a","ps",2,26666.66667,2666666.667,37333333.3333333,402666666.666667,7.24422751547835,5.01727983668992,1.44385558535193,"Pc Sr"
167,"28","e","a","ps",2,26666.66667,2666666.667,53333333.3333333,570666666.666667,7.60090245941708,5.36597601489685,1.41649952186065,"Pc Sr"
168,"28","f","a","ps",2,26666.66667,2666666.667,41333333.3333333,545333333.333333,7.34601020978829,5.32056797535786,1.38068158208132,"Pc Sr"
169,"29","a","a","vs",2,26666.66667,2666666.667,26666666.6666667,366666666.666667,6.90775527885714,4.92362391698163,1.40298190831193,"Vg Sr"
170,"29","b","a","vs",2,26666.66667,2666666.667,2e+07,2.84e+08,6.62007320640536,4.66814498502448,1.41813787438966,"Vg Sr"
171,"29","c","a","vs",2,26666.66667,2666666.667,1e+08,378666666.666667,8.22951111883946,4.95582705747626,1.66057270025688,"Vg Sr"
172,"29","d","a","vs",2,26666.66667,2666666.667,66666666.6666667,381333333.333333,7.82404601073129,4.96284463013491,1.57652447211885,"Vg Sr"
173,"29","e","a","vs",2,26666.66667,2666666.667,50666666.6666667,3.28e+08,7.54960916502953,4.81218435524742,1.56885285510666,"Vg Sr"
174,"29","f","a","vs",2,26666.66667,2666666.667,74666666.6666667,449333333.333333,7.9373746960383,5.12693574966742,1.54817128273027,"Vg Sr"
175,"30","a","p","vs",2,26666.66667,2666666.667,28666666.6666667,677333333.333333,6.98007594043676,5.53733426689354,1.26054805507572,"Vg Sr"
176,"30","b","p","vs",2,26666.66667,2666666.667,4.4e+07,530666666.666667,7.40853056676963,5.29330482459949,1.39960399263992,"Vg Sr"
177,"30","c","p","vs",2,26666.66667,2666666.667,41333333.3333333,486666666.666667,7.34601020978829,5.20675017289755,1.41086281573987,"Vg Sr"
178,"30","d","p","vs",2,26666.66667,2666666.667,2e+07,4.84e+08,6.62007320640536,5.20125565357991,1.27278365981663,"Vg Sr"
179,"30","e","p","vs",2,26666.66667,2666666.667,21333333.3333333,381333333.333333,6.68461172754293,4.96284463013491,1.34693149307018,"Vg Sr"
180,"30","f","p","vs",2,26666.66667,2666666.667,45333333.3333333,473333333.333333,7.43838352991931,5.17897060879047,1.43626679736198,"Vg Sr"
181,"31","a","a","op",2,26666.66667,2666666.667,2.8e+07,162666666.666667,6.95654544302657,4.11087386404831,1.6922303318195,"Od Pc"
182,"31","b","a","op",2,26666.66667,2666666.667,8.4e+07,148666666.666667,8.05515773169468,4.02087741021523,2.00333332999165,"Od Pc"
183,"31","c","a","op",2,26666.66667,2666666.667,1.48e+08,1.76e+08,8.62155320661548,4.18965474190143,2.05781949533691,"Od Pc"
184,"31","d","a","op",2,26666.66667,2666666.667,3.6e+07,1.6e+08,7.20785987130748,4.0943445620971,1.76044291387524,"Od Pc"
185,"31","e","a","op",2,26666.66667,2666666.667,38666666.6666667,157333333.333333,7.27931883528962,4.07753744378072,1.78522427706763,"Od Pc"
186,"31","f","a","op",2,26666.66667,2666666.667,4.8e+07,1.32e+08,7.49554194375926,3.90197266944964,1.92096218470348,"Od Pc"
187,"32","a","a","ov",2,26666.66667,2666666.667,10666666.6666667,314666666.666667,5.99146454698298,4.77068462434066,1.25589197751906,"Od Vg"
188,"32","b","a","ov",2,26666.66667,2666666.667,10666666.6666667,166666666.666667,5.99146454698298,4.13516655661736,1.4489052532588,"Od Vg"
189,"32","c","a","ov",2,26666.66667,2666666.667,2666666.66666667,222666666.666667,4.60517018586309,4.42484663173181,1.04075249814042,"Od Vg"
190,"32","d","a","ov",2,26666.66667,2666666.667,2666666.66666667,237333333.333333,4.60517018586309,4.48863636960714,1.02596196409337,"Od Vg"
191,"32","e","a","ov",2,26666.66667,2666666.667,5333333.33333333,126666666.666667,5.29831736642304,3.8607297109156,1.37236164226749,"Od Vg"
192,"32","f","a","ov",2,26666.66667,2666666.667,5333333.33333333,1.76e+08,5.29831736642304,4.18965474190143,1.26461908983423,"Od Vg"
193,"33","a","a","os",2,26666.66667,2666666.667,1.04e+08,5.28e+08,8.26873183199274,5.28826703056954,1.56359952782154,"Od Sr"
