ID,Rep,Sp,res.sp,inv.other,res.div,inv.div,count,T0_inv,count_other,T0_other,dil,dil_fact
t18,c,AA,PC.VG,SR.OD,2,3,36,8833.333333,342,2684333.333,10000,33.33333333
t18,d,AA,PC.VG,SR.OD,2,3,30,8833.333333,266,2684333.333,10000,33.33333333
t18,e,AA,PC.VG,SR.OD,2,3,46,8833.333333,153,2684333.333,10000,33.33333333
t18,f,AA,PC.VG,SR.OD,2,3,34,8833.333333,364,2684333.333,10000,33.33333333
t18,a,OD,PC.VG,SR.AA,2,3,168,8833.333333,242,2684333.333,10000,33.33333333
t18,b,OD,PC.VG,SR.AA,2,3,82,8833.333333,330,2684333.333,10000,33.33333333
t18,c,OD,PC.VG,SR.AA,2,3,144,8833.333333,234,2684333.333,10000,33.33333333
t18,d,OD,PC.VG,SR.AA,2,3,184,8833.333333,112,2684333.333,10000,33.33333333
t18,e,OD,PC.VG,SR.AA,2,3,108,8833.333333,91,2684333.333,10000,33.33333333
t18,f,OD,PC.VG,SR.AA,2,3,112,8833.333333,286,2684333.333,10000,33.33333333
t19,a,SR,PC.OD,AA.VG,2,3,0,8833.333333,351,2684333.333,10000,33.33333333
t19,b,SR,PC.OD,AA.VG,2,3,398,8833.333333,182,2684333.333,10000,33.33333333
t19,c,SR,PC.OD,AA.VG,2,3,314,8833.333333,245,2684333.333,10000,33.33333333
t19,d,SR,PC.OD,AA.VG,2,3,46,8833.333333,303,2684333.333,10000,33.33333333
t19,e,SR,PC.OD,AA.VG,2,3,0,8833.333333,232,2684333.333,10000,33.33333333
t19,f,SR,PC.OD,AA.VG,2,3,16,8833.333333,250,2684333.333,10000,33.33333333
t19,a,AA,PC.OD,SR.VG,2,3,50,8833.333333,301,2684333.333,10000,33.33333333
t19,b,AA,PC.OD,SR.VG,2,3,6,8833.333333,574,2684333.333,10000,33.33333333
t19,c,AA,PC.OD,SR.VG,2,3,28,8833.333333,531,2684333.333,10000,33.33333333
t19,d,AA,PC.OD,SR.VG,2,3,24,8833.333333,325,2684333.333,10000,33.33333333
t19,e,AA,PC.OD,SR.VG,2,3,30,8833.333333,202,2684333.333,10000,33.33333333
t19,f,AA,PC.OD,SR.VG,2,3,22,8833.333333,244,2684333.333,10000,33.33333333
t19,a,VG,PC.OD,SR.AA,2,3,44,8833.333333,307,2684333.333,10000,33.33333333
t19,b,VG,PC.OD,SR.AA,2,3,44,8833.333333,536,2684333.333,10000,33.33333333
t19,c,VG,PC.OD,SR.AA,2,3,66,8833.333333,493,2684333.333,10000,33.33333333
t19,d,VG,PC.OD,SR.AA,2,3,96,8833.333333,253,2684333.333,10000,33.33333333
t19,e,VG,PC.OD,SR.AA,2,3,56,8833.333333,176,2684333.333,10000,33.33333333
t19,f,VG,PC.OD,SR.AA,2,3,78,8833.333333,188,2684333.333,10000,33.33333333
t20,a,PC,SR.AA,VG.OD,2,3,4,8833.333333,502,2684333.333,10000,33.33333333
t20,b,PC,SR.AA,VG.OD,2,3,3,8833.333333,358,2684333.333,10000,33.33333333
t20,c,PC,SR.AA,VG.OD,2,3,7,8833.333333,536,2684333.333,10000,33.33333333
t20,d,PC,SR.AA,VG.OD,2,3,62,8833.333333,506,2684333.333,10000,33.33333333
t20,e,PC,SR.AA,VG.OD,2,3,68,8833.333333,522,2684333.333,10000,33.33333333
t20,f,PC,SR.AA,VG.OD,2,3,9,8833.333333,630,2684333.333,10000,33.33333333
t20,a,VG,SR.AA,PC.OD,2,3,0,8833.333333,506,2684333.333,10000,33.33333333
t20,b,VG,SR.AA,PC.OD,2,3,66,8833.333333,295,2684333.333,10000,33.33333333
t20,c,VG,SR.AA,PC.OD,2,3,48,8833.333333,495,2684333.333,10000,33.33333333
t20,d,VG,SR.AA,PC.OD,2,3,82,8833.333333,486,2684333.333,10000,33.33333333
t20,e,VG,SR.AA,PC.OD,2,3,30,8833.333333,560,2684333.333,10000,33.33333333
t20,f,VG,SR.AA,PC.OD,2,3,150,8833.333333,489,2684333.333,10000,33.33333333
t20,a,OD,SR.AA,PC.VG,2,3,92,8833.333333,414,2684333.333,10000,33.33333333
t20,b,OD,SR.AA,PC.VG,2,3,132,8833.333333,229,2684333.333,10000,33.33333333
t20,c,OD,SR.AA,PC.VG,2,3,132,8833.333333,413,2684333.333,10000,33.33333333
t20,d,OD,SR.AA,PC.VG,2,3,210,8833.333333,358,2684333.333,10000,33.33333333
t20,e,OD,SR.AA,PC.VG,2,3,132,8833.333333,458,2684333.333,10000,33.33333333
t20,f,OD,SR.AA,PC.VG,2,3,182,8833.333333,457,2684333.333,10000,33.33333333
t21,a,PC,SR.VG,AA.OD,2,3,12,8833.333333,502,2684333.333,10000,33.33333333
t21,b,PC,SR.VG,AA.OD,2,3,84,8833.333333,256,2684333.333,10000,33.33333333
t21,c,PC,SR.VG,AA.OD,2,3,16,8833.333333,274,2684333.333,10000,33.33333333
t21,d,PC,SR.VG,AA.OD,2,3,24,8833.333333,434,2684333.333,10000,33.33333333
t21,e,PC,SR.VG,AA.OD,2,3,54,8833.333333,546,2684333.333,10000,33.33333333
t21,f,PC,SR.VG,AA.OD,2,3,42,8833.333333,610,2684333.333,10000,33.33333333
t21,a,AA,SR.VG,PC.OD,2,3,2,8833.333333,512,2684333.333,10000,33.33333333
t21,b,AA,SR.VG,PC.OD,2,3,4,8833.333333,336,2684333.333,10000,33.33333333
t21,c,AA,SR.VG,PC.OD,2,3,8,8833.333333,282,2684333.333,10000,33.33333333
t21,d,AA,SR.VG,PC.OD,2,3,8,8833.333333,450,2684333.333,10000,33.33333333
t21,e,AA,SR.VG,PC.OD,2,3,22,8833.333333,578,2684333.333,10000,33.33333333
t21,f,AA,SR.VG,PC.OD,2,3,16,8833.333333,636,2684333.333,10000,33.33333333
t21,a,OD,SR.VG,PC.AA,2,3,120,8833.333333,394,2684333.333,10000,33.33333333
t21,b,OD,SR.VG,PC.AA,2,3,80,8833.333333,260,2684333.333,10000,33.33333333
t21,c,OD,SR.VG,PC.AA,2,3,110,8833.333333,180,2684333.333,10000,33.33333333
t21,d,OD,SR.VG,PC.AA,2,3,132,8833.333333,326,2684333.333,10000,33.33333333
t21,e,OD,SR.VG,PC.AA,2,3,62,8833.333333,538,2684333.333,10000,33.33333333
t21,f,OD,SR.VG,PC.AA,2,3,62,8833.333333,590,2684333.333,10000,33.33333333
t22,a,PC,SR.OD,AA.VG,2,3,74,8833.333333,680,2684333.333,10000,33.33333333
t22,b,PC,SR.OD,AA.VG,2,3,4,8833.333333,586,2684333.333,10000,33.33333333
t22,c,PC,SR.OD,AA.VG,2,3,19,8833.333333,650,2684333.333,10000,33.33333333
t22,d,PC,SR.OD,AA.VG,2,3,120,8833.333333,426,2684333.333,10000,33.33333333
t22,e,PC,SR.OD,AA.VG,2,3,14,8833.333333,664,2684333.333,10000,33.33333333
t22,f,PC,SR.OD,AA.VG,2,3,7,8833.333333,450,2684333.333,10000,33.33333333
t22,a,AA,SR.OD,PC.VG,2,3,6,8833.333333,748,2684333.333,10000,33.33333333
t22,b,AA,SR.OD,PC.VG,2,3,68,8833.333333,522,2684333.333,10000,33.33333333
t22,c,AA,SR.OD,PC.VG,2,3,116,8833.333333,553,2684333.333,10000,33.33333333
t22,d,AA,SR.OD,PC.VG,2,3,2,8833.333333,544,2684333.333,10000,33.33333333
t22,e,AA,SR.OD,PC.VG,2,3,40,8833.333333,638,2684333.333,10000,33.33333333
t22,f,AA,SR.OD,PC.VG,2,3,96,8833.333333,361,2684333.333,10000,33.33333333
t22,a,VG,SR.OD,PC.AA,2,3,86,8833.333333,668,2684333.333,10000,33.33333333
t22,b,VG,SR.OD,PC.AA,2,3,170,8833.333333,420,2684333.333,10000,33.33333333
t22,c,VG,SR.OD,PC.AA,2,3,94,8833.333333,575,2684333.333,10000,33.33333333
t22,d,VG,SR.OD,PC.AA,2,3,32,8833.333333,514,2684333.333,10000,33.33333333
t22,e,VG,SR.OD,PC.AA,2,3,46,8833.333333,632,2684333.333,10000,33.33333333
t22,f,VG,SR.OD,PC.AA,2,3,62,8833.333333,395,2684333.333,10000,33.33333333
t23,a,PC,AA.VG,SR.OD,2,3,24,8833.333333,280,2684333.333,10000,33.33333333
t23,b,PC,AA.VG,SR.OD,2,3,9,8833.333333,410,2684333.333,10000,33.33333333
